Country Code,Name,Location,System ID,URL,Auto-Discovery URL,Scooter URL
US,Spin San Diego,"San Diego, CA",spin san_diego,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/san_diego/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/san_diego/free_bike_status.json
US,Spin San Francisco,"San Francisco, CA",spin san_francisco,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/san_francisco/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/san_francisco/free_bike_status.json
US,Spin San Marcos,"San Marcos, TX",spin san_marcos,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/san_marcos/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/san_marcos/free_bike_status.json
US,Spin Santa Monica,"Santa Monica, CA",spin santa monica,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/santa%20monica/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/santa%20monica/free_bike_status.json
US,Spin Seattle,"Seattle, WA",spin seattle,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/seattle/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/seattle/free_bike_status.json
US,Spin South Miami,"South Miami, FL",spin south_miami,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/south_miami/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/south_miami/free_bike_status.json
US,Spin St George,"St George, UT",spin st_george,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/st_george/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/st_george/free_bike_status.json
US,Spin Stillwater,"Stillwater, OK",spin stillwater,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/stillwater/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/stillwater/free_bike_status.json
US,Spin St Louis,"St Louis, MO",spin st_louis,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/st_louis/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/st_louis/free_bike_status.json
US,Spin Tallahassee,"Tallahassee, FL",spin tallahassee,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/tallahassee/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/tallahassee/free_bike_status.json
US,Spin Tampa,"Tampa, FL",spin tampa,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/tampa/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/tampa/free_bike_status.json
US,Spin Tempe,"Tempe, AZ",spin tempe,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/tempe/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/tempe/free_bike_status.json
US,Spin Towson,"Towson, MD",spin towson,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/towson/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/towson/free_bike_status.json
US,Spin Troy,"Troy, AL",spin troy,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/troy/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/troy/free_bike_status.json
US,Spin UC San Diego,"San Diego, CA",spin uc_san_diego,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/uc_san_diego/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/uc_san_diego/free_bike_status.json
US,Spin University of Central Florida,"Orlando, FL",spin university_of_central_florida,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/university_of_central_florida/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/university_of_central_florida/free_bike_status.json
US,Spin University of Kentucky,"Lexington, KY",spin university_of_kentucky,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/university_of_kentucky/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/university_of_kentucky/free_bike_status.json
US,Spin Virginia Tech,"Blackburg, VA",spin virginia_tech,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/virginia_tech/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/virginia_tech/free_bike_status.json
US,Spin Washington DC,"Washington, DC",spin washington_dc,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/washington_dc/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/washington_dc/free_bike_status.json
US,Spin White Center,"White Center, WA",spin white_center,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/white_center/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/white_center/free_bike_status.json
US,Spin Wichita,"Wichita, KS",spin wichita,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/wichita/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/wichita/free_bike_status.json
US,Spin Winston Salem,"Winston Salem, NC",spin winston_salem,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/winston_salem/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/winston_salem/free_bike_status.json
